date.0,date.1,date.2,date.3,date.4,date.5,date.6,date.7,date.8
2057-04-05,05/04/2057,04/05/2057,"5th April, 2057","April 5th, 2057",2057/04/05,"April 5th, 2057",05-04-2057,05 Apr 2057
1942-04-24,24/04/1942,04/24/1942,"24th April, 1942","April 24th, 1942",1942/04/24,"April 24th, 1942",24-04-1942,24 Apr 1942
2048-03-13,13/03/2048,03/13/2048,"13th March, 2048","March 13th, 2048",2048/03/13,"March 13th, 2048",13-03-2048,13 Mar 2048
1972-01-08,08/01/1972,01/08/1972,"8th January, 1972","January 8th, 1972",1972/01/08,"January 8th, 1972",08-01-1972,08 Jan 1972
1956-05-13,13/05/1956,05/13/1956,"13th May, 1956","May 13th, 1956",1956/05/13,"May 13th, 1956",13-05-1956,13 May 1956
2023-10-04,04/10/2023,10/04/2023,"4th October, 2023","October 4th, 2023",2023/10/04,"October 4th, 2023",04-10-2023,04 Oct 2023
1971-11-30,30/11/1971,11/30/1971,"30th November, 1971","November 30th, 1971",1971/11/30,"November 30th, 1971",30-11-1971,30 Nov 1971
1949-04-04,04/04/1949,04/04/1949,"4th April, 1949","April 4th, 1949",1949/04/04,"April 4th, 1949",04-04-1949,04 Apr 1949
2034-06-26,26/06/2034,06/26/2034,"26th June, 2034","June 26th, 2034",2034/06/26,"June 26th, 2034",26-06-2034,26 Jun 2034
2063-06-23,23/06/2063,06/23/2063,"23rd June, 2063","June 23rd, 2063",2063/06/23,"June 23rd, 2063",23-06-2063,23 Jun 2063
1971-10-30,30/10/1971,10/30/1971,"30th October, 1971","October 30th, 1971",1971/10/30,"October 30th, 1971",30-10-1971,30 Oct 1971
1956-11-06,06/11/1956,11/06/1956,"6th November, 1956","November 6th, 1956",1956/11/06,"November 6th, 1956",06-11-1956,06 Nov 1956
2047-04-12,12/04/2047,04/12/2047,"12th April, 2047","April 12th, 2047",2047/04/12,"April 12th, 2047",12-04-2047,12 Apr 2047
2073-05-28,28/05/2073,05/28/2073,"28th May, 2073","May 28th, 2073",2073/05/28,"May 28th, 2073",28-05-2073,28 May 2073
2062-10-09,09/10/2062,10/09/2062,"9th October, 2062","October 9th, 2062",2062/10/09,"October 9th, 2062",09-10-2062,09 Oct 2062
2088-11-07,07/11/2088,11/07/2088,"7th November, 2088","November 7th, 2088",2088/11/07,"November 7th, 2088",07-11-2088,07 Nov 2088
1968-04-16,16/04/1968,04/16/1968,"16th April, 1968","April 16th, 1968",1968/04/16,"April 16th, 1968",16-04-1968,16 Apr 1968
2052-12-01,01/12/2052,12/01/2052,"1st December, 2052","December 1st, 2052",2052/12/01,"December 1st, 2052",01-12-2052,01 Dec 2052
1938-08-06,06/08/1938,08/06/1938,"6th August, 1938","August 6th, 1938",1938/08/06,"August 6th, 1938",06-08-1938,06 Aug 1938
2081-04-10,10/04/2081,04/10/2081,"10th April, 2081","April 10th, 2081",2081/04/10,"April 10th, 2081",10-04-2081,10 Apr 2081
2071-02-28,28/02/2071,02/28/2071,"28th February, 2071","February 28th, 2071",2071/02/28,"February 28th, 2071",28-02-2071,28 Feb 2071
1928-08-29,29/08/1928,08/29/1928,"29th August, 1928","August 29th, 1928",1928/08/29,"August 29th, 1928",29-08-1928,29 Aug 1928
1995-07-08,08/07/1995,07/08/1995,"8th July, 1995","July 8th, 1995",1995/07/08,"July 8th, 1995",08-07-1995,08 Jul 1995
1954-02-28,28/02/1954,02/28/1954,"28th February, 1954","February 28th, 1954",1954/02/28,"February 28th, 1954",28-02-1954,28 Feb 1954
2069-08-03,03/08/2069,08/03/2069,"3rd August, 2069","August 3rd, 2069",2069/08/03,"August 3rd, 2069",03-08-2069,03 Aug 2069
1982-09-03,03/09/1982,09/03/1982,"3rd September, 1982","September 3rd, 1982",1982/09/03,"September 3rd, 1982",03-09-1982,03 Sep 1982
2016-10-31,31/10/2016,10/31/2016,"31st October, 2016","October 31st, 2016",2016/10/31,"October 31st, 2016",31-10-2016,31 Oct 2016
1925-07-02,02/07/1925,07/02/1925,"2nd July, 1925","July 2nd, 1925",1925/07/02,"July 2nd, 1925",02-07-1925,02 Jul 1925
1912-12-26,26/12/1912,12/26/1912,"26th December, 1912","December 26th, 1912",1912/12/26,"December 26th, 1912",26-12-1912,26 Dec 1912
1916-02-27,27/02/1916,02/27/1916,"27th February, 1916","February 27th, 1916",1916/02/27,"February 27th, 1916",27-02-1916,27 Feb 1916
2018-09-06,06/09/2018,09/06/2018,"6th September, 2018","September 6th, 2018",2018/09/06,"September 6th, 2018",06-09-2018,06 Sep 2018
2042-05-06,06/05/2042,05/06/2042,"6th May, 2042","May 6th, 2042",2042/05/06,"May 6th, 2042",06-05-2042,06 May 2042
2065-06-19,19/06/2065,06/19/2065,"19th June, 2065","June 19th, 2065",2065/06/19,"June 19th, 2065",19-06-2065,19 Jun 2065
2040-09-13,13/09/2040,09/13/2040,"13th September, 2040","September 13th, 2040",2040/09/13,"September 13th, 2040",13-09-2040,13 Sep 2040
2040-05-04,04/05/2040,05/04/2040,"4th May, 2040","May 4th, 2040",2040/05/04,"May 4th, 2040",04-05-2040,04 May 2040
2082-02-20,20/02/2082,02/20/2082,"20th February, 2082","February 20th, 2082",2082/02/20,"February 20th, 2082",20-02-2082,20 Feb 2082
2058-06-10,10/06/2058,06/10/2058,"10th June, 2058","June 10th, 2058",2058/06/10,"June 10th, 2058",10-06-2058,10 Jun 2058
2020-12-19,19/12/2020,12/19/2020,"19th December, 2020","December 19th, 2020",2020/12/19,"December 19th, 2020",19-12-2020,19 Dec 2020
2008-05-24,24/05/2008,05/24/2008,"24th May, 2008","May 24th, 2008",2008/05/24,"May 24th, 2008",24-05-2008,24 May 2008
1975-08-24,24/08/1975,08/24/1975,"24th August, 1975","August 24th, 1975",1975/08/24,"August 24th, 1975",24-08-1975,24 Aug 1975
2034-10-28,28/10/2034,10/28/2034,"28th October, 2034","October 28th, 2034",2034/10/28,"October 28th, 2034",28-10-2034,28 Oct 2034
2068-11-16,16/11/2068,11/16/2068,"16th November, 2068","November 16th, 2068",2068/11/16,"November 16th, 2068",16-11-2068,16 Nov 2068
2037-09-02,02/09/2037,09/02/2037,"2nd September, 2037","September 2nd, 2037",2037/09/02,"September 2nd, 2037",02-09-2037,02 Sep 2037
2005-08-28,28/08/2005,08/28/2005,"28th August, 2005","August 28th, 2005",2005/08/28,"August 28th, 2005",28-08-2005,28 Aug 2005
2086-01-31,31/01/2086,01/31/2086,"31st January, 2086","January 31st, 2086",2086/01/31,"January 31st, 2086",31-01-2086,31 Jan 2086
1984-03-25,25/03/1984,03/25/1984,"25th March, 1984","March 25th, 1984",1984/03/25,"March 25th, 1984",25-03-1984,25 Mar 1984
1960-02-10,10/02/1960,02/10/1960,"10th February, 1960","February 10th, 1960",1960/02/10,"February 10th, 1960",10-02-1960,10 Feb 1960
1918-03-09,09/03/1918,03/09/1918,"9th March, 1918","March 9th, 1918",1918/03/09,"March 9th, 1918",09-03-1918,09 Mar 1918
1930-09-27,27/09/1930,09/27/1930,"27th September, 1930","September 27th, 1930",1930/09/27,"September 27th, 1930",27-09-1930,27 Sep 1930
2023-06-23,23/06/2023,06/23/2023,"23rd June, 2023","June 23rd, 2023",2023/06/23,"June 23rd, 2023",23-06-2023,23 Jun 2023
2066-10-15,15/10/2066,10/15/2066,"15th October, 2066","October 15th, 2066",2066/10/15,"October 15th, 2066",15-10-2066,15 Oct 2066
2055-08-02,02/08/2055,08/02/2055,"2nd August, 2055","August 2nd, 2055",2055/08/02,"August 2nd, 2055",02-08-2055,02 Aug 2055
1916-01-15,15/01/1916,01/15/1916,"15th January, 1916","January 15th, 1916",1916/01/15,"January 15th, 1916",15-01-1916,15 Jan 1916
1974-02-08,08/02/1974,02/08/1974,"8th February, 1974","February 8th, 1974",1974/02/08,"February 8th, 1974",08-02-1974,08 Feb 1974
1963-07-29,29/07/1963,07/29/1963,"29th July, 1963","July 29th, 1963",1963/07/29,"July 29th, 1963",29-07-1963,29 Jul 1963
2088-08-07,07/08/2088,08/07/2088,"7th August, 2088","August 7th, 2088",2088/08/07,"August 7th, 2088",07-08-2088,07 Aug 2088
1915-04-15,15/04/1915,04/15/1915,"15th April, 1915","April 15th, 1915",1915/04/15,"April 15th, 1915",15-04-1915,15 Apr 1915
2094-01-24,24/01/2094,01/24/2094,"24th January, 2094","January 24th, 2094",2094/01/24,"January 24th, 2094",24-01-2094,24 Jan 2094
2069-05-10,10/05/2069,05/10/2069,"10th May, 2069","May 10th, 2069",2069/05/10,"May 10th, 2069",10-05-2069,10 May 2069
1902-04-17,17/04/1902,04/17/1902,"17th April, 1902","April 17th, 1902",1902/04/17,"April 17th, 1902",17-04-1902,17 Apr 1902
1988-12-22,22/12/1988,12/22/1988,"22nd December, 1988","December 22nd, 1988",1988/12/22,"December 22nd, 1988",22-12-1988,22 Dec 1988
2077-03-31,31/03/2077,03/31/2077,"31st March, 2077","March 31st, 2077",2077/03/31,"March 31st, 2077",31-03-2077,31 Mar 2077
1922-02-16,16/02/1922,02/16/1922,"16th February, 1922","February 16th, 1922",1922/02/16,"February 16th, 1922",16-02-1922,16 Feb 1922
1965-08-09,09/08/1965,08/09/1965,"9th August, 1965","August 9th, 1965",1965/08/09,"August 9th, 1965",09-08-1965,09 Aug 1965
2016-04-26,26/04/2016,04/26/2016,"26th April, 2016","April 26th, 2016",2016/04/26,"April 26th, 2016",26-04-2016,26 Apr 2016
1956-12-17,17/12/1956,12/17/1956,"17th December, 1956","December 17th, 1956",1956/12/17,"December 17th, 1956",17-12-1956,17 Dec 1956
2011-07-01,01/07/2011,07/01/2011,"1st July, 2011","July 1st, 2011",2011/07/01,"July 1st, 2011",01-07-2011,01 Jul 2011
2083-07-29,29/07/2083,07/29/2083,"29th July, 2083","July 29th, 2083",2083/07/29,"July 29th, 2083",29-07-2083,29 Jul 2083
1982-05-13,13/05/1982,05/13/1982,"13th May, 1982","May 13th, 1982",1982/05/13,"May 13th, 1982",13-05-1982,13 May 1982
1973-09-04,04/09/1973,09/04/1973,"4th September, 1973","September 4th, 1973",1973/09/04,"September 4th, 1973",04-09-1973,04 Sep 1973
1924-03-18,18/03/1924,03/18/1924,"18th March, 1924","March 18th, 1924",1924/03/18,"March 18th, 1924",18-03-1924,18 Mar 1924
1958-05-07,07/05/1958,05/07/1958,"7th May, 1958","May 7th, 1958",1958/05/07,"May 7th, 1958",07-05-1958,07 May 1958
2044-07-18,18/07/2044,07/18/2044,"18th July, 2044","July 18th, 2044",2044/07/18,"July 18th, 2044",18-07-2044,18 Jul 2044
2066-05-27,27/05/2066,05/27/2066,"27th May, 2066","May 27th, 2066",2066/05/27,"May 27th, 2066",27-05-2066,27 May 2066
1959-08-19,19/08/1959,08/19/1959,"19th August, 1959","August 19th, 1959",1959/08/19,"August 19th, 1959",19-08-1959,19 Aug 1959
1982-12-09,09/12/1982,12/09/1982,"9th December, 1982","December 9th, 1982",1982/12/09,"December 9th, 1982",09-12-1982,09 Dec 1982
2011-05-19,19/05/2011,05/19/2011,"19th May, 2011","May 19th, 2011",2011/05/19,"May 19th, 2011",19-05-2011,19 May 2011
2043-09-14,14/09/2043,09/14/2043,"14th September, 2043","September 14th, 2043",2043/09/14,"September 14th, 2043",14-09-2043,14 Sep 2043
2070-08-09,09/08/2070,08/09/2070,"9th August, 2070","August 9th, 2070",2070/08/09,"August 9th, 2070",09-08-2070,09 Aug 2070
1963-03-23,23/03/1963,03/23/1963,"23rd March, 1963","March 23rd, 1963",1963/03/23,"March 23rd, 1963",23-03-1963,23 Mar 1963
1987-11-15,15/11/1987,11/15/1987,"15th November, 1987","November 15th, 1987",1987/11/15,"November 15th, 1987",15-11-1987,15 Nov 1987
2074-07-10,10/07/2074,07/10/2074,"10th July, 2074","July 10th, 2074",2074/07/10,"July 10th, 2074",10-07-2074,10 Jul 2074
1968-12-28,28/12/1968,12/28/1968,"28th December, 1968","December 28th, 1968",1968/12/28,"December 28th, 1968",28-12-1968,28 Dec 1968
2095-03-26,26/03/2095,03/26/2095,"26th March, 2095","March 26th, 2095",2095/03/26,"March 26th, 2095",26-03-2095,26 Mar 2095
2071-06-16,16/06/2071,06/16/2071,"16th June, 2071","June 16th, 2071",2071/06/16,"June 16th, 2071",16-06-2071,16 Jun 2071
1934-09-13,13/09/1934,09/13/1934,"13th September, 1934","September 13th, 1934",1934/09/13,"September 13th, 1934",13-09-1934,13 Sep 1934
2094-05-28,28/05/2094,05/28/2094,"28th May, 2094","May 28th, 2094",2094/05/28,"May 28th, 2094",28-05-2094,28 May 2094
2060-07-11,11/07/2060,07/11/2060,"11th July, 2060","July 11th, 2060",2060/07/11,"July 11th, 2060",11-07-2060,11 Jul 2060
1970-09-25,25/09/1970,09/25/1970,"25th September, 1970","September 25th, 1970",1970/09/25,"September 25th, 1970",25-09-1970,25 Sep 1970
2030-02-28,28/02/2030,02/28/2030,"28th February, 2030","February 28th, 2030",2030/02/28,"February 28th, 2030",28-02-2030,28 Feb 2030
1965-08-19,19/08/1965,08/19/1965,"19th August, 1965","August 19th, 1965",1965/08/19,"August 19th, 1965",19-08-1965,19 Aug 1965
1964-06-19,19/06/1964,06/19/1964,"19th June, 1964","June 19th, 1964",1964/06/19,"June 19th, 1964",19-06-1964,19 Jun 1964
1949-11-18,18/11/1949,11/18/1949,"18th November, 1949","November 18th, 1949",1949/11/18,"November 18th, 1949",18-11-1949,18 Nov 1949
1924-11-28,28/11/1924,11/28/1924,"28th November, 1924","November 28th, 1924",1924/11/28,"November 28th, 1924",28-11-1924,28 Nov 1924
1922-01-02,02/01/1922,01/02/1922,"2nd January, 1922","January 2nd, 1922",1922/01/02,"January 2nd, 1922",02-01-1922,02 Jan 1922
1901-05-10,10/05/1901,05/10/1901,"10th May, 1901","May 10th, 1901",1901/05/10,"May 10th, 1901",10-05-1901,10 May 1901
2069-06-14,14/06/2069,06/14/2069,"14th June, 2069","June 14th, 2069",2069/06/14,"June 14th, 2069",14-06-2069,14 Jun 2069
1959-08-20,20/08/1959,08/20/1959,"20th August, 1959","August 20th, 1959",1959/08/20,"August 20th, 1959",20-08-1959,20 Aug 1959
1988-11-22,22/11/1988,11/22/1988,"22nd November, 1988","November 22nd, 1988",1988/11/22,"November 22nd, 1988",22-11-1988,22 Nov 1988
2040-03-15,15/03/2040,03/15/2040,"15th March, 2040","March 15th, 2040",2040/03/15,"March 15th, 2040",15-03-2040,15 Mar 2040
2096-09-29,29/09/2096,09/29/2096,"29th September, 2096","September 29th, 2096",2096/09/29,"September 29th, 2096",29-09-2096,29 Sep 2096
2006-02-01,01/02/2006,02/01/2006,"1st February, 2006","February 1st, 2006",2006/02/01,"February 1st, 2006",01-02-2006,01 Feb 2006
2056-08-19,19/08/2056,08/19/2056,"19th August, 2056","August 19th, 2056",2056/08/19,"August 19th, 2056",19-08-2056,19 Aug 2056
1990-09-15,15/09/1990,09/15/1990,"15th September, 1990","September 15th, 1990",1990/09/15,"September 15th, 1990",15-09-1990,15 Sep 1990
2006-03-05,05/03/2006,03/05/2006,"5th March, 2006","March 5th, 2006",2006/03/05,"March 5th, 2006",05-03-2006,05 Mar 2006
1940-07-31,31/07/1940,07/31/1940,"31st July, 1940","July 31st, 1940",1940/07/31,"July 31st, 1940",31-07-1940,31 Jul 1940
2060-03-25,25/03/2060,03/25/2060,"25th March, 2060","March 25th, 2060",2060/03/25,"March 25th, 2060",25-03-2060,25 Mar 2060
1990-07-05,05/07/1990,07/05/1990,"5th July, 1990","July 5th, 1990",1990/07/05,"July 5th, 1990",05-07-1990,05 Jul 1990
2085-08-01,01/08/2085,08/01/2085,"1st August, 2085","August 1st, 2085",2085/08/01,"August 1st, 2085",01-08-2085,01 Aug 2085
2056-12-18,18/12/2056,12/18/2056,"18th December, 2056","December 18th, 2056",2056/12/18,"December 18th, 2056",18-12-2056,18 Dec 2056
2048-12-21,21/12/2048,12/21/2048,"21st December, 2048","December 21st, 2048",2048/12/21,"December 21st, 2048",21-12-2048,21 Dec 2048
1982-06-05,05/06/1982,06/05/1982,"5th June, 1982","June 5th, 1982",1982/06/05,"June 5th, 1982",05-06-1982,05 Jun 1982
1988-01-08,08/01/1988,01/08/1988,"8th January, 1988","January 8th, 1988",1988/01/08,"January 8th, 1988",08-01-1988,08 Jan 1988
2026-10-29,29/10/2026,10/29/2026,"29th October, 2026","October 29th, 2026",2026/10/29,"October 29th, 2026",29-10-2026,29 Oct 2026
1984-10-13,13/10/1984,10/13/1984,"13th October, 1984","October 13th, 1984",1984/10/13,"October 13th, 1984",13-10-1984,13 Oct 1984
2063-01-11,11/01/2063,01/11/2063,"11th January, 2063","January 11th, 2063",2063/01/11,"January 11th, 2063",11-01-2063,11 Jan 2063
1906-11-27,27/11/1906,11/27/1906,"27th November, 1906","November 27th, 1906",1906/11/27,"November 27th, 1906",27-11-1906,27 Nov 1906
1992-07-16,16/07/1992,07/16/1992,"16th July, 1992","July 16th, 1992",1992/07/16,"July 16th, 1992",16-07-1992,16 Jul 1992
1934-02-13,13/02/1934,02/13/1934,"13th February, 1934","February 13th, 1934",1934/02/13,"February 13th, 1934",13-02-1934,13 Feb 1934
1990-04-14,14/04/1990,04/14/1990,"14th April, 1990","April 14th, 1990",1990/04/14,"April 14th, 1990",14-04-1990,14 Apr 1990
2059-03-02,02/03/2059,03/02/2059,"2nd March, 2059","March 2nd, 2059",2059/03/02,"March 2nd, 2059",02-03-2059,02 Mar 2059
2081-05-20,20/05/2081,05/20/2081,"20th May, 2081","May 20th, 2081",2081/05/20,"May 20th, 2081",20-05-2081,20 May 2081
2042-06-09,09/06/2042,06/09/2042,"9th June, 2042","June 9th, 2042",2042/06/09,"June 9th, 2042",09-06-2042,09 Jun 2042
2043-12-08,08/12/2043,12/08/2043,"8th December, 2043","December 8th, 2043",2043/12/08,"December 8th, 2043",08-12-2043,08 Dec 2043
2061-01-02,02/01/2061,01/02/2061,"2nd January, 2061","January 2nd, 2061",2061/01/02,"January 2nd, 2061",02-01-2061,02 Jan 2061
1942-11-21,21/11/1942,11/21/1942,"21st November, 1942","November 21st, 1942",1942/11/21,"November 21st, 1942",21-11-1942,21 Nov 1942
2001-07-25,25/07/2001,07/25/2001,"25th July, 2001","July 25th, 2001",2001/07/25,"July 25th, 2001",25-07-2001,25 Jul 2001
2092-12-20,20/12/2092,12/20/2092,"20th December, 2092","December 20th, 2092",2092/12/20,"December 20th, 2092",20-12-2092,20 Dec 2092
2036-10-15,15/10/2036,10/15/2036,"15th October, 2036","October 15th, 2036",2036/10/15,"October 15th, 2036",15-10-2036,15 Oct 2036
2090-10-03,03/10/2090,10/03/2090,"3rd October, 2090","October 3rd, 2090",2090/10/03,"October 3rd, 2090",03-10-2090,03 Oct 2090
2011-02-27,27/02/2011,02/27/2011,"27th February, 2011","February 27th, 2011",2011/02/27,"February 27th, 2011",27-02-2011,27 Feb 2011
1938-07-16,16/07/1938,07/16/1938,"16th July, 1938","July 16th, 1938",1938/07/16,"July 16th, 1938",16-07-1938,16 Jul 1938
2049-11-07,07/11/2049,11/07/2049,"7th November, 2049","November 7th, 2049",2049/11/07,"November 7th, 2049",07-11-2049,07 Nov 2049
2032-01-29,29/01/2032,01/29/2032,"29th January, 2032","January 29th, 2032",2032/01/29,"January 29th, 2032",29-01-2032,29 Jan 2032
1924-12-18,18/12/1924,12/18/1924,"18th December, 1924","December 18th, 1924",1924/12/18,"December 18th, 1924",18-12-1924,18 Dec 1924
1908-08-13,13/08/1908,08/13/1908,"13th August, 1908","August 13th, 1908",1908/08/13,"August 13th, 1908",13-08-1908,13 Aug 1908
2035-06-22,22/06/2035,06/22/2035,"22nd June, 2035","June 22nd, 2035",2035/06/22,"June 22nd, 2035",22-06-2035,22 Jun 2035
2017-05-10,10/05/2017,05/10/2017,"10th May, 2017","May 10th, 2017",2017/05/10,"May 10th, 2017",10-05-2017,10 May 2017
1979-03-27,27/03/1979,03/27/1979,"27th March, 1979","March 27th, 1979",1979/03/27,"March 27th, 1979",27-03-1979,27 Mar 1979
1901-02-12,12/02/1901,02/12/1901,"12th February, 1901","February 12th, 1901",1901/02/12,"February 12th, 1901",12-02-1901,12 Feb 1901
2086-07-23,23/07/2086,07/23/2086,"23rd July, 2086","July 23rd, 2086",2086/07/23,"July 23rd, 2086",23-07-2086,23 Jul 2086
1977-11-10,10/11/1977,11/10/1977,"10th November, 1977","November 10th, 1977",1977/11/10,"November 10th, 1977",10-11-1977,10 Nov 1977
2076-09-19,19/09/2076,09/19/2076,"19th September, 2076","September 19th, 2076",2076/09/19,"September 19th, 2076",19-09-2076,19 Sep 2076
2007-05-04,04/05/2007,05/04/2007,"4th May, 2007","May 4th, 2007",2007/05/04,"May 4th, 2007",04-05-2007,04 May 2007
1993-09-24,24/09/1993,09/24/1993,"24th September, 1993","September 24th, 1993",1993/09/24,"September 24th, 1993",24-09-1993,24 Sep 1993
2077-01-28,28/01/2077,01/28/2077,"28th January, 2077","January 28th, 2077",2077/01/28,"January 28th, 2077",28-01-2077,28 Jan 2077
1999-01-25,25/01/1999,01/25/1999,"25th January, 1999","January 25th, 1999",1999/01/25,"January 25th, 1999",25-01-1999,25 Jan 1999
2080-06-18,18/06/2080,06/18/2080,"18th June, 2080","June 18th, 2080",2080/06/18,"June 18th, 2080",18-06-2080,18 Jun 2080
2088-12-24,24/12/2088,12/24/2088,"24th December, 2088","December 24th, 2088",2088/12/24,"December 24th, 2088",24-12-2088,24 Dec 2088
1998-04-16,16/04/1998,04/16/1998,"16th April, 1998","April 16th, 1998",1998/04/16,"April 16th, 1998",16-04-1998,16 Apr 1998
2095-01-20,20/01/2095,01/20/2095,"20th January, 2095","January 20th, 2095",2095/01/20,"January 20th, 2095",20-01-2095,20 Jan 2095
1921-02-16,16/02/1921,02/16/1921,"16th February, 1921","February 16th, 1921",1921/02/16,"February 16th, 1921",16-02-1921,16 Feb 1921
2079-01-12,12/01/2079,01/12/2079,"12th January, 2079","January 12th, 2079",2079/01/12,"January 12th, 2079",12-01-2079,12 Jan 2079
1920-06-25,25/06/1920,06/25/1920,"25th June, 1920","June 25th, 1920",1920/06/25,"June 25th, 1920",25-06-1920,25 Jun 1920
2007-01-29,29/01/2007,01/29/2007,"29th January, 2007","January 29th, 2007",2007/01/29,"January 29th, 2007",29-01-2007,29 Jan 2007
2093-10-26,26/10/2093,10/26/2093,"26th October, 2093","October 26th, 2093",2093/10/26,"October 26th, 2093",26-10-2093,26 Oct 2093
1949-02-08,08/02/1949,02/08/1949,"8th February, 1949","February 8th, 1949",1949/02/08,"February 8th, 1949",08-02-1949,08 Feb 1949
2046-08-18,18/08/2046,08/18/2046,"18th August, 2046","August 18th, 2046",2046/08/18,"August 18th, 2046",18-08-2046,18 Aug 2046
2040-08-26,26/08/2040,08/26/2040,"26th August, 2040","August 26th, 2040",2040/08/26,"August 26th, 2040",26-08-2040,26 Aug 2040
2013-05-19,19/05/2013,05/19/2013,"19th May, 2013","May 19th, 2013",2013/05/19,"May 19th, 2013",19-05-2013,19 May 2013
1901-08-14,14/08/1901,08/14/1901,"14th August, 1901","August 14th, 1901",1901/08/14,"August 14th, 1901",14-08-1901,14 Aug 1901
2045-10-05,05/10/2045,10/05/2045,"5th October, 2045","October 5th, 2045",2045/10/05,"October 5th, 2045",05-10-2045,05 Oct 2045
1962-08-12,12/08/1962,08/12/1962,"12th August, 1962","August 12th, 1962",1962/08/12,"August 12th, 1962",12-08-1962,12 Aug 1962
1927-03-16,16/03/1927,03/16/1927,"16th March, 1927","March 16th, 1927",1927/03/16,"March 16th, 1927",16-03-1927,16 Mar 1927
1901-03-21,21/03/1901,03/21/1901,"21st March, 1901","March 21st, 1901",1901/03/21,"March 21st, 1901",21-03-1901,21 Mar 1901
2096-05-21,21/05/2096,05/21/2096,"21st May, 2096","May 21st, 2096",2096/05/21,"May 21st, 2096",21-05-2096,21 May 2096
2082-09-29,29/09/2082,09/29/2082,"29th September, 2082","September 29th, 2082",2082/09/29,"September 29th, 2082",29-09-2082,29 Sep 2082
2004-05-07,07/05/2004,05/07/2004,"7th May, 2004","May 7th, 2004",2004/05/07,"May 7th, 2004",07-05-2004,07 May 2004
1944-04-16,16/04/1944,04/16/1944,"16th April, 1944","April 16th, 1944",1944/04/16,"April 16th, 1944",16-04-1944,16 Apr 1944
1919-04-09,09/04/1919,04/09/1919,"9th April, 1919","April 9th, 1919",1919/04/09,"April 9th, 1919",09-04-1919,09 Apr 1919
2022-05-16,16/05/2022,05/16/2022,"16th May, 2022","May 16th, 2022",2022/05/16,"May 16th, 2022",16-05-2022,16 May 2022
2074-05-20,20/05/2074,05/20/2074,"20th May, 2074","May 20th, 2074",2074/05/20,"May 20th, 2074",20-05-2074,20 May 2074
1906-01-17,17/01/1906,01/17/1906,"17th January, 1906","January 17th, 1906",1906/01/17,"January 17th, 1906",17-01-1906,17 Jan 1906
1902-12-20,20/12/1902,12/20/1902,"20th December, 1902","December 20th, 1902",1902/12/20,"December 20th, 1902",20-12-1902,20 Dec 1902
2078-09-25,25/09/2078,09/25/2078,"25th September, 2078","September 25th, 2078",2078/09/25,"September 25th, 2078",25-09-2078,25 Sep 2078
1941-06-21,21/06/1941,06/21/1941,"21st June, 1941","June 21st, 1941",1941/06/21,"June 21st, 1941",21-06-1941,21 Jun 1941
1965-05-20,20/05/1965,05/20/1965,"20th May, 1965","May 20th, 1965",1965/05/20,"May 20th, 1965",20-05-1965,20 May 1965
1935-02-13,13/02/1935,02/13/1935,"13th February, 1935","February 13th, 1935",1935/02/13,"February 13th, 1935",13-02-1935,13 Feb 1935
1969-09-09,09/09/1969,09/09/1969,"9th September, 1969","September 9th, 1969",1969/09/09,"September 9th, 1969",09-09-1969,09 Sep 1969
1952-10-01,01/10/1952,10/01/1952,"1st October, 1952","October 1st, 1952",1952/10/01,"October 1st, 1952",01-10-1952,01 Oct 1952
2040-09-19,19/09/2040,09/19/2040,"19th September, 2040","September 19th, 2040",2040/09/19,"September 19th, 2040",19-09-2040,19 Sep 2040
2094-07-15,15/07/2094,07/15/2094,"15th July, 2094","July 15th, 2094",2094/07/15,"July 15th, 2094",15-07-2094,15 Jul 2094
1925-07-26,26/07/1925,07/26/1925,"26th July, 1925","July 26th, 1925",1925/07/26,"July 26th, 1925",26-07-1925,26 Jul 1925
2056-03-25,25/03/2056,03/25/2056,"25th March, 2056","March 25th, 2056",2056/03/25,"March 25th, 2056",25-03-2056,25 Mar 2056
2090-04-27,27/04/2090,04/27/2090,"27th April, 2090","April 27th, 2090",2090/04/27,"April 27th, 2090",27-04-2090,27 Apr 2090
1978-08-14,14/08/1978,08/14/1978,"14th August, 1978","August 14th, 1978",1978/08/14,"August 14th, 1978",14-08-1978,14 Aug 1978
2054-03-03,03/03/2054,03/03/2054,"3rd March, 2054","March 3rd, 2054",2054/03/03,"March 3rd, 2054",03-03-2054,03 Mar 2054
2032-08-05,05/08/2032,08/05/2032,"5th August, 2032","August 5th, 2032",2032/08/05,"August 5th, 2032",05-08-2032,05 Aug 2032
2019-09-24,24/09/2019,09/24/2019,"24th September, 2019","September 24th, 2019",2019/09/24,"September 24th, 2019",24-09-2019,24 Sep 2019
2080-03-17,17/03/2080,03/17/2080,"17th March, 2080","March 17th, 2080",2080/03/17,"March 17th, 2080",17-03-2080,17 Mar 2080
2099-01-07,07/01/2099,01/07/2099,"7th January, 2099","January 7th, 2099",2099/01/07,"January 7th, 2099",07-01-2099,07 Jan 2099
1984-03-03,03/03/1984,03/03/1984,"3rd March, 1984","March 3rd, 1984",1984/03/03,"March 3rd, 1984",03-03-1984,03 Mar 1984
2096-05-05,05/05/2096,05/05/2096,"5th May, 2096","May 5th, 2096",2096/05/05,"May 5th, 2096",05-05-2096,05 May 2096
