year,month,date,string
2043,November,22,"['11/22/2043', '22/11/2043', '2043-11-22', '22nd November, 2043', '2043/11/22', '22-11-2043', 'November 22nd, 2043', '22 Nov 2043']"
1978,November,5,"['11/05/1978', 'November 5th, 1978', '05-11-1978', '5th November, 1978', '05/11/1978', '1978/11/05', '1978-11-05']"
1967,July,31,"['31 Jul 1967', '31-07-1967', '07/31/1967', '1967/07/31', '31st July, 1967', '31/07/1967', 'July 31st, 1967']"
1973,November,15,"['11/15/1973', '1973/11/15', '15-11-1973', '15/11/1973']"
1938,August,19,"['19-08-1938', '19th August, 1938', 'August 19th, 1938']"
2052,August,8,['08/08/2052']
1916,July,12,['12/07/1916']
1917,June,5,"['05/06/1917', '5th June, 1917', '1917/06/05', '05-06-1917', 'June 5th, 1917', '1917-06-05', '06/05/1917']"
2069,December,20,"['2069/12/20', '20-12-2069', '2069-12-20', '20/12/2069', 'December 20th, 2069', '20th December, 2069']"
2045,August,5,"['2045-08-05', '2045/08/05', '08/05/2045', '05/08/2045']"
1959,February,7,['02/07/1959']
2077,July,27,"['27 Jul 2077', '27th July, 2077', '27-07-2077', '2077-07-27', '27/07/2077', 'July 27th, 2077', '2077/07/27', '07/27/2077']"
2090,December,28,"['2090-12-28', '28 Dec 2090', '12/28/2090', '28-12-2090']"
2013,February,1,"['02/01/2013', '2013/02/01']"
2000,July,21,"['July 21st, 2000', '2000-07-21', '21 Jul 2000', '21st July, 2000', '07/21/2000', '21/07/2000', '2000/07/21']"
1986,March,8,"['1986/03/08', '08/03/1986', '1986-03-08', 'March 8th, 1986', '8th March, 1986', '08-03-1986', '03/08/1986']"
1909,June,12,"['12/06/1909', '06/12/1909', '1909/06/12', 'June 12th, 1909']"
1989,September,16,"['09/16/1989', '1989/09/16', '16 Sep 1989', 'September 16th, 1989', '16-09-1989', '16th September, 1989']"
1961,July,31,['31 Jul 1961']
2073,February,6,"['6th February, 2073']"
2016,May,10,"['05/10/2016', '2016/05/10', '10/05/2016', '10-05-2016', '2016-05-10', 'May 10th, 2016', '10 May 2016']"
2051,September,10,"['2051/09/10', '10-09-2051']"
1914,April,17,"['17/04/1914', '17-04-1914', '04/17/1914', '17 Apr 1914']"
2012,June,19,"['19/06/2012', '19-06-2012', '19 Jun 2012', '19th June, 2012']"
1950,November,21,"['21-11-1950', 'November 21st, 1950', '1950-11-21']"
1940,November,14,"['1940-11-14', 'November 14th, 1940', '14/11/1940', '14th November, 1940', '14-11-1940']"
2013,July,16,"['16/07/2013', '16-07-2013', '16th July, 2013']"
2013,December,1,"['2013-12-01', '2013/12/01', '01 Dec 2013', 'December 1st, 2013', '1st December, 2013', '12/01/2013']"
2065,April,19,"['19-04-2065', '19/04/2065']"
1905,August,20,"['20th August, 1905']"
2004,May,30,"['May 30th, 2004']"
2001,June,23,"['23rd June, 2001', '2001-06-23', '23 Jun 2001', '23/06/2001']"
2067,April,17,"['17th April, 2067', 'April 17th, 2067', '17/04/2067', '2067/04/17', '17-04-2067', '2067-04-17', '17 Apr 2067']"
2071,July,22,"['2071/07/22', '22 Jul 2071', '22nd July, 2071', '22/07/2071', '22-07-2071', 'July 22nd, 2071']"
1961,October,11,"['10/11/1961', '1961/10/11', 'October 11th, 1961', '11-10-1961', '11 Oct 1961', '11/10/1961']"
1981,September,23,"['September 23rd, 1981', '1981-09-23', '23-09-1981', '23 Sep 1981']"
2014,December,8,"['December 8th, 2014', '08-12-2014', '08/12/2014', '2014-12-08']"
1913,June,21,['1913-06-21']
2023,February,6,"['06/02/2023', '6th February, 2023', '2023-02-06', '2023/02/06']"
2030,October,9,"['2030-10-09', '10/09/2030', '09 Oct 2030', '09/10/2030', '2030/10/09']"
2078,November,1,"['2078/11/01', '1st November, 2078', '01-11-2078', '01/11/2078', '11/01/2078', '01 Nov 2078']"
2074,January,21,"['21/01/2074', '2074/01/21', '21st January, 2074', '2074-01-21', '21 Jan 2074', '21-01-2074', '01/21/2074']"
1966,October,13,"['October 13th, 1966', '10/13/1966', '13 Oct 1966', '13-10-1966']"
1928,June,26,"['26 Jun 1928', '26th June, 1928', 'June 26th, 1928', '26-06-1928']"
2074,November,12,"['November 12th, 2074', '12 Nov 2074', '12/11/2074']"
2054,July,16,"['16-07-2054', '16 Jul 2054', '2054/07/16', '16/07/2054', 'July 16th, 2054']"
1945,May,29,"['29/05/1945', '1945/05/29', '1945-05-29']"
1990,April,18,"['April 18th, 1990', '18th April, 1990', '04/18/1990', '18/04/1990', '18-04-1990', '18 Apr 1990']"
1988,June,12,['12 Jun 1988']
2080,June,19,"['2080-06-19', '19/06/2080', '19th June, 2080', '19 Jun 2080']"
1970,October,12,"['1970/10/12', '12th October, 1970', '1970-10-12', '12 Oct 1970', '12/10/1970']"
2023,August,31,"['31-08-2023', '31 Aug 2023', 'August 31st, 2023', '2023/08/31', '2023-08-31', '31/08/2023', '08/31/2023']"
1977,June,29,"['1977/06/29', '1977-06-29', '29th June, 1977', 'June 29th, 1977', '29/06/1977', '29 Jun 1977', '29-06-1977']"
1992,May,27,"['27/05/1992', '05/27/1992', '1992/05/27', 'May 27th, 1992', '27-05-1992', '27 May 1992', '27th May, 1992', '1992-05-27']"
1939,June,20,"['1939-06-20', '20/06/1939', '20th June, 1939', '20 Jun 1939', 'June 20th, 1939']"
1981,July,13,"['1981/07/13', '13 Jul 1981', '13-07-1981', '07/13/1981', '13/07/1981', 'July 13th, 1981']"
2062,June,27,"['2062-06-27', '27 Jun 2062']"
2018,September,11,"['11 Sep 2018', '11th September, 2018']"
2069,May,18,"['2069-05-18', '2069/05/18', '18-05-2069', 'May 18th, 2069', '18th May, 2069']"
2084,February,26,"['2084-02-26', '26th February, 2084', '02/26/2084', '26 Feb 2084', '26/02/2084', '26-02-2084', 'February 26th, 2084', '2084/02/26']"
1980,April,12,"['April 12th, 1980', '1980-04-12', '1980/04/12']"
1987,March,31,"['1987-03-31', '1987/03/31']"
2049,September,12,"['12/09/2049', '2049-09-12', '09/12/2049', '12th September, 2049']"
2046,June,10,"['10-06-2046', '10th June, 2046', '10/06/2046', '06/10/2046', '2046-06-10', 'June 10th, 2046']"
1977,August,9,"['09-08-1977', '09/08/1977', '9th August, 1977']"
1967,April,2,"['April 2nd, 1967']"
2040,February,25,"['25 Feb 2040', '25-02-2040', 'February 25th, 2040', '25/02/2040', '2040/02/25', '2040-02-25', '02/25/2040', '25th February, 2040']"
2051,June,16,"['16/06/2051', '16 Jun 2051', '06/16/2051', '2051-06-16', '2051/06/16', '16-06-2051', '16th June, 2051']"
2047,May,18,"['18th May, 2047', '05/18/2047', '18-05-2047', 'May 18th, 2047', '18/05/2047', '2047-05-18', '18 May 2047']"
2070,November,21,"['2070-11-21', '21st November, 2070', '11/21/2070', '21/11/2070', '21-11-2070', '2070/11/21']"
2071,August,13,"['2071/08/13', '2071-08-13', 'August 13th, 2071', '13-08-2071']"
1964,October,1,"['01 Oct 1964', '01-10-1964', '01/10/1964', 'October 1st, 1964', '10/01/1964', '1964/10/01', '1964-10-01']"
1983,July,19,['19/07/1983']
1953,November,26,"['26/11/1953', '26-11-1953', '11/26/1953', '26th November, 1953', '1953-11-26', '26 Nov 1953', 'November 26th, 1953']"
1909,February,28,"['28-02-1909', '28 Feb 1909', '28th February, 1909', 'February 28th, 1909', '28/02/1909', '1909-02-28', '1909/02/28', '02/28/1909']"
1974,October,21,['21-10-1974']
1941,November,28,"['1941-11-28', '28 Nov 1941', 'November 28th, 1941']"
1936,December,4,"['04-12-1936', 'December 4th, 1936', '04 Dec 1936', '1936/12/04', '1936-12-04', '04/12/1936']"
2056,April,9,"['09 Apr 2056', '09/04/2056', '2056/04/09']"
1940,March,22,"['22nd March, 1940', 'March 22nd, 1940', '1940/03/22', '22-03-1940', '03/22/1940', '22 Mar 1940']"
2042,July,2,['07/02/2042']
1934,January,22,['1934-01-22']
1953,September,27,"['1953-09-27', '09/27/1953', '27-09-1953', 'September 27th, 1953', '27/09/1953', '27th September, 1953', '27 Sep 1953']"
1927,November,1,"['01/11/1927', '1927-11-01', '01 Nov 1927']"
1974,January,11,['11/01/1974']
1990,November,4,"['04-11-1990', '11/04/1990', '4th November, 1990', '04/11/1990', 'November 4th, 1990', '1990-11-04', '1990/11/04']"
2021,April,15,['15-04-2021']
2072,April,23,"['23/04/2072', '23rd April, 2072']"
2015,April,3,"['03/04/2015', '03-04-2015', '3rd April, 2015', '04/03/2015', '03 Apr 2015', 'April 3rd, 2015', '2015-04-03', '2015/04/03']"
1959,August,3,"['1959/08/03', '3rd August, 1959', '08/03/1959', '1959-08-03', 'August 3rd, 1959', '03 Aug 1959']"
1961,March,23,"['23rd March, 1961', '23/03/1961', '03/23/1961', '23-03-1961', '1961/03/23', '1961-03-23', 'March 23rd, 1961', '23 Mar 1961']"
2068,October,30,"['30/10/2068', '10/30/2068', '30th October, 2068', '30-10-2068', 'October 30th, 2068', '2068-10-30']"
2001,November,29,"['29th November, 2001']"
1979,June,17,"['17 Jun 1979', 'June 17th, 1979', '1979-06-17']"
2004,March,14,"['14/03/2004', 'March 14th, 2004', '14-03-2004', '2004-03-14', '2004/03/14', '14th March, 2004']"
1931,June,30,"['1931-06-30', '30-06-1931', '1931/06/30', '06/30/1931', '30/06/1931', '30th June, 1931', 'June 30th, 1931']"
2098,May,15,"['2098/05/15', '15 May 2098', '2098-05-15']"
2006,October,10,"['10th October, 2006', '10/10/2006', '10-10-2006', 'October 10th, 2006', '2006-10-10']"
1929,October,18,"['1929-10-18', '1929/10/18', '10/18/1929', '18-10-1929', '18th October, 1929', 'October 18th, 1929']"
1983,January,26,"['1983/01/26', '26-01-1983', '01/26/1983', '26th January, 1983', '26 Jan 1983']"
1951,September,11,"['11 Sep 1951', '11-09-1951', '11/09/1951', '1951-09-11']"
2045,March,28,"['28-03-2045', '28th March, 2045']"
2005,November,11,"['11/11/2005', '11/11/2005', '11th November, 2005', '2005-11-11', '2005/11/11', '11 Nov 2005', '11-11-2005']"
2098,July,18,['2098/07/18']
1930,August,20,"['20th August, 1930', 'August 20th, 1930', '20 Aug 1930']"
2086,February,27,"['27th February, 2086', '27/02/2086', '27-02-2086', '27 Feb 2086', '02/27/2086']"
2038,June,8,"['08 Jun 2038', '2038/06/08']"
1903,April,8,"['04/08/1903', '08/04/1903', '1903-04-08', 'April 8th, 1903', '1903/04/08']"
2000,May,11,"['11/05/2000', '2000/05/11', '11-05-2000', '11th May, 2000', '05/11/2000', '11 May 2000', 'May 11th, 2000']"
2084,October,10,"['2084/10/10', '10/10/2084', '10 Oct 2084', '2084-10-10']"
2050,August,23,['23/08/2050']
1957,December,26,"['26-12-1957', 'December 26th, 1957', '1957/12/26', '1957-12-26', '26th December, 1957']"
2024,December,7,"['07/12/2024', '07 Dec 2024']"
1988,December,14,"['12/14/1988', 'December 14th, 1988', '14/12/1988', '1988-12-14', '14-12-1988']"
2081,November,18,"['November 18th, 2081', '18 Nov 2081']"
2006,March,17,['17 Mar 2006']
1931,July,20,"['20/07/1931', '1931-07-20', '1931/07/20']"
2053,February,15,"['2053-02-15', '15 Feb 2053', '2053/02/15', '15th February, 2053', '15-02-2053', '15/02/2053', 'February 15th, 2053']"
1977,March,20,['20 Mar 1977']
1989,December,14,"['14th December, 1989', '12/14/1989', '1989-12-14', '14/12/1989', '14 Dec 1989', '14-12-1989', 'December 14th, 1989', '1989/12/14']"
1949,February,1,"['1st February, 1949', '02/01/1949']"
1987,January,7,['1987/01/07']
1934,November,29,"['29th November, 1934', '29 Nov 1934']"
2014,March,25,"['25-03-2014', '03/25/2014', '2014-03-25', '25 Mar 2014']"
2076,January,11,"['11/01/2076', '01/11/2076', '2076-01-11']"
2034,December,26,"['12/26/2034', '26/12/2034', 'December 26th, 2034', '2034/12/26', '26 Dec 2034', '2034-12-26']"
1934,June,15,"['June 15th, 1934', '15 Jun 1934', '1934/06/15', '1934-06-15', '15-06-1934']"
2085,September,28,"['2085/09/28', '09/28/2085', '28 Sep 2085', '28-09-2085', '2085-09-28', 'September 28th, 2085', '28th September, 2085']"
1906,June,28,"['06/28/1906', '1906-06-28', '28 Jun 1906', '1906/06/28', '28/06/1906', 'June 28th, 1906']"
1918,September,22,"['22nd September, 1918']"
1996,November,6,['1996-11-06']
2099,October,25,"['2099/10/25', '25/10/2099']"
2048,November,8,"['08-11-2048', '08/11/2048', '11/08/2048']"
2026,August,10,"['08/10/2026', '10/08/2026']"
2054,January,27,"['January 27th, 2054', '27/01/2054']"
2053,November,23,"['23 Nov 2053', 'November 23rd, 2053']"
1955,June,1,"['1955/06/01', '01-06-1955']"
2005,February,3,"['03-02-2005', '02/03/2005', '3rd February, 2005', '03 Feb 2005', '03/02/2005', '2005-02-03']"
2054,January,23,['23-01-2054']
2087,May,1,"['2087/05/01', '01-05-2087', '2087-05-01', '01 May 2087']"
2059,July,15,['2059-07-15']
2073,June,26,"['06/26/2073', '2073-06-26', '26th June, 2073', '26/06/2073', '26-06-2073', '2073/06/26', '26 Jun 2073']"
1960,January,17,"['January 17th, 1960', '17-01-1960', '17 Jan 1960', '1960-01-17']"
1967,January,7,"['07 Jan 1967', '07/01/1967', '07-01-1967', 'January 7th, 1967', '01/07/1967', '7th January, 1967', '1967-01-07']"
2008,February,2,"['2008-02-02', '02-02-2008', '02/02/2008', '2nd February, 2008', '02 Feb 2008', '2008/02/02']"
2088,May,23,"['05/23/2088', '2088/05/23', '23-05-2088']"
2007,August,23,"['23 Aug 2007', '08/23/2007', '2007/08/23', '23rd August, 2007', 'August 23rd, 2007', '2007-08-23']"
1956,November,2,"['02 Nov 1956', '1956/11/02']"
2021,March,8,"['8th March, 2021', 'March 8th, 2021', '08/03/2021']"
1953,October,13,"['10/13/1953', '1953/10/13', '13/10/1953']"
2007,March,19,"['March 19th, 2007', '2007-03-19', '2007/03/19', '19th March, 2007', '03/19/2007', '19-03-2007']"
1962,June,17,"['17th June, 1962', '17 Jun 1962', '1962/06/17', 'June 17th, 1962', '06/17/1962', '17/06/1962']"
2048,September,1,"['01-09-2048', '01/09/2048', '1st September, 2048']"
2022,February,16,['2022/02/16']
2088,October,27,"['27/10/2088', '27th October, 2088', '2088/10/27', '10/27/2088', 'October 27th, 2088', '2088-10-27']"
2089,November,14,"['2089-11-14', '11/14/2089', '2089/11/14', 'November 14th, 2089', '14 Nov 2089', '14th November, 2089', '14-11-2089', '14/11/2089']"
1905,February,19,"['1905/02/19', '19/02/1905', '1905-02-19', '19-02-1905', '02/19/1905']"
1923,May,12,"['12-05-1923', '12/05/1923', '05/12/1923', '12th May, 1923']"
2059,February,20,"['02/20/2059', '20/02/2059', '20th February, 2059']"
1984,August,22,"['1984-08-22', '1984/08/22', '08/22/1984', '22-08-1984', 'August 22nd, 1984', '22 Aug 1984', '22/08/1984']"
1969,May,14,"['14th May, 1969', '1969/05/14', '14/05/1969', '14 May 1969', '05/14/1969', 'May 14th, 1969', '1969-05-14', '14-05-1969']"
1945,September,26,"['September 26th, 1945', '1945/09/26', '26 Sep 1945']"
2099,August,8,"['08/08/2099', '08-08-2099', '2099-08-08', '2099/08/08', '8th August, 2099', '08 Aug 2099']"
1955,February,4,"['04-02-1955', '4th February, 1955', '04 Feb 1955']"
2025,July,23,"['23 Jul 2025', '23/07/2025', '2025-07-23', 'July 23rd, 2025', '23rd July, 2025', '23-07-2025', '07/23/2025']"
2049,June,22,"['22nd June, 2049', '2049-06-22', '06/22/2049', '2049/06/22', '22-06-2049', 'June 22nd, 2049', '22/06/2049']"
2056,December,17,"['17 Dec 2056', '2056/12/17', '17th December, 2056', '17/12/2056', '2056-12-17', '17-12-2056', 'December 17th, 2056', '12/17/2056']"
2070,August,24,['2070/08/24']
2014,August,6,['2014/08/06']
2003,February,11,"['11-02-2003', '2003/02/11', '2003-02-11', '11 Feb 2003']"
2039,March,27,"['27th March, 2039', '27 Mar 2039', '2039/03/27', '27/03/2039', '2039-03-27', '03/27/2039', '27-03-2039', 'March 27th, 2039']"
2045,December,26,"['12/26/2045', 'December 26th, 2045', '2045/12/26', '26/12/2045', '26-12-2045', '26 Dec 2045', '2045-12-26', '26th December, 2045']"
1981,May,26,"['May 26th, 1981']"
2068,August,26,"['26 Aug 2068', '26th August, 2068', '2068/08/26', '08/26/2068']"
2098,February,28,"['2098-02-28', '28 Feb 2098', '2098/02/28', '28/02/2098', '02/28/2098', '28th February, 2098', 'February 28th, 2098', '28-02-2098']"
2018,March,30,"['March 30th, 2018', '30/03/2018', '03/30/2018']"
2020,November,21,"['21-11-2020', '2020-11-21', 'November 21st, 2020', '21st November, 2020']"
1945,August,28,"['August 28th, 1945', '28-08-1945']"
1924,June,29,"['29 Jun 1924', '29th June, 1924', '1924/06/29', '29/06/1924']"
2085,September,17,"['17/09/2085', '2085/09/17', '17 Sep 2085']"
2012,April,16,"['2012/04/16', 'April 16th, 2012', '16th April, 2012', '16-04-2012']"
2090,April,17,"['17-04-2090', 'April 17th, 2090', '17 Apr 2090', '2090-04-17']"
2022,July,1,"['1st July, 2022']"
2092,April,28,"['2092/04/28', '2092-04-28', '28th April, 2092', 'April 28th, 2092']"
1999,July,30,"['30th July, 1999', '30-07-1999', 'July 30th, 1999', '1999/07/30', '30 Jul 1999', '1999-07-30', '30/07/1999', '07/30/1999']"
1925,June,3,"['June 3rd, 1925', '3rd June, 1925', '03 Jun 1925', '06/03/1925', '03-06-1925', '03/06/1925', '1925/06/03', '1925-06-03']"
2020,November,14,"['2020-11-14', '14 Nov 2020', '2020/11/14', '11/14/2020', '14-11-2020']"
2036,November,4,"['November 4th, 2036', '04/11/2036', '04 Nov 2036', '04-11-2036', '2036-11-04', '4th November, 2036', '11/04/2036', '2036/11/04']"
2096,July,4,"['04 Jul 2096', '04/07/2096', '4th July, 2096', '04-07-2096', '2096/07/04', '07/04/2096']"
2068,April,13,"['13th April, 2068', '04/13/2068', '13/04/2068', '13-04-2068', '13 Apr 2068']"
2036,August,29,"['29 Aug 2036', '2036/08/29', 'August 29th, 2036', '29/08/2036', '29-08-2036', '2036-08-29', '29th August, 2036', '08/29/2036']"
2076,November,9,"['09-11-2076', '09 Nov 2076']"
1936,February,10,"['1936/02/10', '10th February, 1936', '10 Feb 1936', 'February 10th, 1936']"
2021,December,28,"['2021-12-28', '28 Dec 2021', '28/12/2021', 'December 28th, 2021', '28-12-2021', '28th December, 2021']"
2099,April,4,"['04 Apr 2099', '2099/04/04', 'April 4th, 2099']"
1979,July,11,"['July 11th, 1979', '1979/07/11', '11/07/1979']"
1950,October,25,"['1950-10-25', '25 Oct 1950', 'October 25th, 1950', '1950/10/25', '25th October, 1950', '25-10-1950', '10/25/1950', '25/10/1950']"
1953,March,15,"['03/15/1953', '15-03-1953', '15/03/1953', '15th March, 1953']"
2085,September,18,"['18 Sep 2085', 'September 18th, 2085', '2085-09-18', '2085/09/18', '18-09-2085']"
2082,June,2,"['June 2nd, 2082', '02/06/2082', '2082/06/02', '02 Jun 2082', '2082-06-02', '06/02/2082', '02-06-2082', '2nd June, 2082']"
1957,May,20,"['20/05/1957', '1957/05/20', '05/20/1957', '20 May 1957', '1957-05-20', '20-05-1957']"
1908,February,3,"['03/02/1908', '02/03/1908', '03 Feb 1908', '03-02-1908', '1908-02-03', '1908/02/03', '3rd February, 1908']"
1914,October,4,"['04/10/1914', '04 Oct 1914', '10/04/1914']"
2030,April,7,"['7th April, 2030', '07/04/2030', '2030/04/07']"
1931,January,22,"['22nd January, 1931', 'January 22nd, 1931', '1931-01-22', '01/22/1931']"
2023,October,10,"['2023-10-10', '2023/10/10', '10/10/2023', '10-10-2023', '10/10/2023', '10 Oct 2023', 'October 10th, 2023', '10th October, 2023']"
1996,October,3,"['03/10/1996', '1996/10/03', '03-10-1996', 'October 3rd, 1996', '3rd October, 1996', '1996-10-03', '03 Oct 1996', '10/03/1996']"
1901,December,24,"['1901/12/24', '12/24/1901', '1901-12-24', 'December 24th, 1901', '24 Dec 1901', '24th December, 1901', '24/12/1901']"
1965,May,9,"['09 May 1965', 'May 9th, 1965', '05/09/1965', '1965-05-09', '1965/05/09', '9th May, 1965']"
1932,January,25,"['25/01/1932', '1932/01/25', '25th January, 1932']"
1971,February,16,"['1971-02-16', '02/16/1971', '16-02-1971', '1971/02/16', 'February 16th, 1971', '16th February, 1971']"
2070,March,16,"['16-03-2070', '16th March, 2070', '16 Mar 2070', '2070-03-16', '03/16/2070', '16/03/2070', 'March 16th, 2070', '2070/03/16']"
1973,October,26,"['26th October, 1973', 'October 26th, 1973']"
2059,December,14,"['2059/12/14', '14 Dec 2059']"
2033,May,20,"['20-05-2033', '2033-05-20', '2033/05/20', '20/05/2033', 'May 20th, 2033', '05/20/2033', '20 May 2033', '20th May, 2033']"
1971,April,14,"['14th April, 1971', '1971-04-14', '04/14/1971', '1971/04/14', '14/04/1971', '14 Apr 1971', '14-04-1971']"
1983,July,7,"['07 Jul 1983', '07-07-1983', '07/07/1983', 'July 7th, 1983']"
2054,January,30,"['30/01/2054', '30th January, 2054', '2054/01/30', '01/30/2054', 'January 30th, 2054', '30 Jan 2054']"
1908,December,5,['1908/12/05']
1971,August,5,"['05-08-1971', '1971-08-05', '05/08/1971', '5th August, 1971']"
2062,June,3,"['June 3rd, 2062']"
1967,March,3,"['3rd March, 1967', '1967/03/03', 'March 3rd, 1967', '03/03/1967', '03-03-1967']"
2065,July,10,"['2065/07/10', '07/10/2065', '10th July, 2065', '10/07/2065', '10-07-2065', '2065-07-10']"
1947,March,28,"['28th March, 1947', 'March 28th, 1947', '1947/03/28', '1947-03-28', '28 Mar 1947', '03/28/1947']"
2069,April,5,"['2069-04-05', '05 Apr 2069']"
1963,September,16,"['16/09/1963', '16th September, 1963', 'September 16th, 1963', '1963-09-16', '16-09-1963', '16 Sep 1963', '1963/09/16']"
1922,October,21,['1922-10-21']
2092,March,10,['03/10/2092']
1969,December,25,"['12/25/1969', '25-12-1969', '25th December, 1969', '1969-12-25', 'December 25th, 1969', '25 Dec 1969', '1969/12/25', '25/12/1969']"
1911,February,3,"['February 3rd, 1911', '03-02-1911', '03 Feb 1911', '1911/02/03', '03/02/1911', '1911-02-03', '3rd February, 1911', '02/03/1911']"
2055,September,16,"['09/16/2055', '16-09-2055', '16/09/2055', '16th September, 2055']"
2052,September,19,"['2052-09-19', '09/19/2052', 'September 19th, 2052', '19/09/2052', '19th September, 2052', '19 Sep 2052', '19-09-2052', '2052/09/19']"
2086,February,21,"['21-02-2086', '2086/02/21', '2086-02-21']"
2069,December,19,"['12/19/2069', 'December 19th, 2069', '19 Dec 2069', '19-12-2069', '2069/12/19', '19th December, 2069', '2069-12-19']"
1961,June,9,"['June 9th, 1961', '9th June, 1961', '09 Jun 1961']"
2059,July,10,"['2059/07/10', 'July 10th, 2059', '07/10/2059', '10/07/2059', '10-07-2059', '2059-07-10', '10th July, 2059']"
1974,October,30,['30-10-1974']
1997,December,11,"['1997-12-11', '1997/12/11', '11/12/1997', '11th December, 1997', '11-12-1997', '12/11/1997', 'December 11th, 1997', '11 Dec 1997']"
2092,January,1,"['01 Jan 2092', '01/01/2092', '01/01/2092', '01-01-2092', 'January 1st, 2092', '1st January, 2092', '2092/01/01']"
2043,August,30,"['30/08/2043', '2043/08/30', '30 Aug 2043', 'August 30th, 2043', '08/30/2043', '2043-08-30']"
2004,July,26,['26/07/2004']
1902,February,26,"['1902/02/26', '26th February, 1902', '1902-02-26', 'February 26th, 1902', '02/26/1902']"
1987,July,25,"['25th July, 1987', '1987/07/25', '1987-07-25', 'July 25th, 1987']"
2011,August,14,"['2011/08/14', '14-08-2011', '14th August, 2011', '14/08/2011', '14 Aug 2011', '08/14/2011', '2011-08-14', 'August 14th, 2011']"
1941,December,21,"['21/12/1941', '1941/12/21', '21 Dec 1941', '12/21/1941', 'December 21st, 1941']"
2069,September,28,"['28 Sep 2069', '28-09-2069', '28/09/2069', 'September 28th, 2069', '2069/09/28']"
1927,February,11,"['11th February, 1927', '1927/02/11', 'February 11th, 1927', '1927-02-11', '02/11/1927', '11/02/1927', '11 Feb 1927', '11-02-1927']"
1999,February,10,"['02/10/1999', '10 Feb 1999', '1999-02-10']"
1975,January,12,"['1975-01-12', '12th January, 1975']"
2003,March,4,"['2003-03-04', '03/04/2003', '04-03-2003']"
2067,February,20,"['20/02/2067', '02/20/2067', '2067-02-20', 'February 20th, 2067', '20-02-2067', '2067/02/20', '20th February, 2067']"
2082,April,16,"['2082-04-16', '16/04/2082', '04/16/2082', '16-04-2082', '2082/04/16', '16th April, 2082', '16 Apr 2082']"
2010,October,24,"['24-10-2010', 'October 24th, 2010']"
2083,March,13,['13 Mar 2083']
1937,May,13,"['13th May, 1937', '13/05/1937', 'May 13th, 1937', '05/13/1937', '13-05-1937', '1937/05/13', '1937-05-13']"
1981,December,13,"['1981/12/13', '13/12/1981', '13th December, 1981', '13-12-1981', '1981-12-13', '12/13/1981', '13 Dec 1981', 'December 13th, 1981']"
2048,June,28,"['2048-06-28', '06/28/2048', 'June 28th, 2048', '28-06-2048', '28 Jun 2048', '28th June, 2048', '2048/06/28']"
1935,August,7,['07 Aug 1935']
2023,September,29,"['September 29th, 2023']"
1971,March,27,"['27th March, 1971', '03/27/1971', 'March 27th, 1971', '1971-03-27', '27/03/1971', '27 Mar 1971', '1971/03/27', '27-03-1971']"
1944,November,22,"['11/22/1944', '22nd November, 1944', '22-11-1944', 'November 22nd, 1944', '22/11/1944', '1944-11-22', '22 Nov 1944']"
2018,June,28,"['28/06/2018', '2018/06/28', '06/28/2018', '28 Jun 2018', '28-06-2018', '28th June, 2018', 'June 28th, 2018']"
2004,June,11,"['06/11/2004', '2004-06-11', '11/06/2004', '11th June, 2004', 'June 11th, 2004']"
2012,March,23,"['23 Mar 2012', 'March 23rd, 2012', '23/03/2012', '2012/03/23', '23rd March, 2012', '03/23/2012', '2012-03-23', '23-03-2012']"
2074,October,9,"['09-10-2074', '09 Oct 2074', '09/10/2074', '10/09/2074', '9th October, 2074', '2074/10/09', 'October 9th, 2074']"
1993,February,1,"['01 Feb 1993', 'February 1st, 1993', '01-02-1993', '1993-02-01', '01/02/1993', '1993/02/01', '1st February, 1993', '02/01/1993']"
2065,February,26,"['2065/02/26', '26/02/2065', '26th February, 2065', '26-02-2065', 'February 26th, 2065', '02/26/2065']"
1991,July,26,"['26 Jul 1991', '26/07/1991', '07/26/1991']"
1919,April,29,"['04/29/1919', '29-04-1919', '29/04/1919', '1919-04-29', 'April 29th, 1919', '1919/04/29']"
2051,March,2,"['03/02/2051', '2051-03-02', '02-03-2051', '02 Mar 2051', 'March 2nd, 2051', '02/03/2051', '2nd March, 2051', '2051/03/02']"
2039,April,19,"['19th April, 2039', '19-04-2039', '19/04/2039', '04/19/2039']"
2056,October,23,"['2056-10-23', '23rd October, 2056', '23/10/2056', '23-10-2056', '23 Oct 2056', 'October 23rd, 2056', '10/23/2056']"
2037,December,15,['2037/12/15']
2044,April,14,"['04/14/2044', '14 Apr 2044', '2044/04/14', '14th April, 2044', '2044-04-14', 'April 14th, 2044', '14-04-2044', '14/04/2044']"
2049,March,24,"['24th March, 2049', '2049/03/24', '24 Mar 2049', '24/03/2049', '03/24/2049', '24-03-2049']"
1942,September,24,"['24-09-1942', '24/09/1942', '24 Sep 1942', '1942/09/24']"
2096,September,14,"['09/14/2096', '2096-09-14', '14th September, 2096', '14 Sep 2096', '2096/09/14', '14-09-2096', 'September 14th, 2096']"
2052,October,31,"['October 31st, 2052', '31 Oct 2052', '31/10/2052', '2052-10-31', '2052/10/31']"
2039,October,6,"['10/06/2039', '2039-10-06']"
1982,November,11,"['11th November, 1982', 'November 11th, 1982', '1982/11/11', '11/11/1982', '11/11/1982', '11 Nov 1982']"
2020,December,27,['27/12/2020']
